Statement,Label,
CHINA ANNOUNCES COMPLETE BAN ON ALL SOCIAL MEDIA PLATFORMS INTERNET TO BE STRICTLY CONTROLLED,FALSE,
ELON MUSK UNVEILS 'NEURALINK' BRAIN IMPLANT HUMANS TO ACHIEVE SUPERHUMAN ABILITIES,FALSE,
EUROPEAN UNION VOTES TO DISBAND MEMBER COUNTRIES TO GO SOLO,FALSE,
AMAZON CEO JEFF BEZOS ANNOUNCES PLAN TO RESIGN GIVE AWAY FORTUNE TO CHARITY,FALSE,
U.S. MILITARY LAUNCHES OPERATION TO REMOVE ALL NUCLEAR WEAPONS FROM EARTH,FALSE,
APPLE RELEASES NEW iPHONE WITH BUILT-IN TIME TRAVEL FEATURE,FALSE,
WORLD HEALTH ORGANIZATION DECLARES GLOBAL PANDEMIC OVER LIFE RETURNS TO NORMAL,FALSE,
NASA DISCOVERS ANCIENT PYRAMIDS ON MARS CONFIRMS EXISTENCE OF PAST LIFE,FALSE,
PRESIDENT ANNOUNCES NEW 'AMERICA FIRST' POLICY: ALL FOREIGN AID TO BE CUT IMMEDIATELY,FALSE,
BREAKING: ALIENS LAND IN NEW YORK CITY UNITED NATIONS TO HOLD EMERGENCY MEETING,FALSE,
Historic SpaceX Launch Marks First Crewed Flight from U.S. Soil Since 2011,TRUE,
COVID-19 Vaccines Roll Out Worldwide Offering Hope for Pandemic's End,TRUE,
U.S. Withdraws Troops from Afghanistan Ending Two-Decade War,TRUE,
NASA's James Webb Telescope Successfully Launched Set to Revolutionize Astronomy,TRUE,
Global Climate Summit Agrees on Ambitious Emissions Reduction Targets,TRUE,
China's Tianwen-1 Mission Successfully Lands Rover on Mars,TRUE,
World's First Commercial Hyperloop System Begins Operations in Duba,TRUE,
Scientists Announce Breakthrough in Fusion Energy Potentially Decades Ahead of Schedule,TRUE,
International Agreement Reached to Protect 30% of Earth's Oceans and Land by 2030,TRUE,
Quantum Internet Prototype Demonstrated Paving Way for Ultra-Secure Global Network,TRUE,
Scientists Discover Faster-Than-Light Travel! Faster Than a Speeding Bullet!!!,FALSE,
2021 Sees Record-Breaking Alien Invasions! More Than Ever Before!!!,FALSE,
Elon Musk's Neuralink Allows Telepathy! More Effective Than Words!!!,FALSE,
2022 Election Rigged by Robots! More Votes Than Humans Cast!!,FALSE,
Time Travel Invented by 2023! More Accurate Than Predictions!!,FALSE,
Global Warming Reversed by 2024! Colder Than the Ice Age!!!,FALSE,
